Date,Country,Cumulative number of case(s),Number of deaths
4/1/03,Australia,1,0
4/17/03,Australia,2,0
4/23/03,Australia,1,0
5/22/03,Australia,2,0
4/1/03,Belgium,1,0
4/3/03,Brazil,1,0
4/10/03,Brazil,1,0
6/10/03,Brazil,1,0
4/24/03,Bulgaria,1,0
3/17/03,Canada,8,2
3/20/03,Canada,1,0
3/24/03,Canada,2,1
3/26/03,Canada,8,0
3/27/03,Canada,9,0
3/28/03,Canada,1,0
3/29/03,Canada,8,0
3/31/03,Canada,7,1
4/1/03,Canada,9,0
4/2/03,Canada,5,2
4/3/03,Canada,4,0
4/4/03,Canada,7,1
4/5/03,Canada,5,0
4/7/03,Canada,16,2
4/8/03,Canada,1,1
4/9/03,Canada,3,0
4/10/03,Canada,3,0
4/11/03,Canada,1,0
4/12/03,Canada,3,0
4/14/03,Canada,-1,3
4/16/03,Canada,3,0
4/17/03,Canada,23,0
4/18/03,Canada,6,0
4/22/03,Canada,7,1
4/23/03,Canada,1,0
4/24/03,Canada,0,2
4/26/03,Canada,2,3
4/29/03,Canada,4,2
4/30/03,Canada,2,0
5/1/03,Canada,-1,0
5/2/03,Canada,2,2
5/5/03,Canada,-1,0
5/7/03,Canada,-2,0
5/9/03,Canada,-1,0
5/12/03,Canada,-2,0
5/14/03,Canada,0,1
5/15/03,Canada,-1,0
5/16/03,Canada,-2,0
5/26/03,Canada,8,3
5/28/03,Canada,1,0
5/29/03,Canada,2,0
5/30/03,Canada,8,2
5/31/03,Canada,29,2
6/2/03,Canada,10,0
6/3/03,Canada,15,1
6/4/03,Canada,3,0
6/5/03,Canada,2,0
6/6/03,Canada,1,0
6/9/03,Canada,10,1
6/11/03,Canada,1,0
6/12/03,Canada,8,0
6/13/03,Canada,4,0
6/16/03,Canada,1,0
6/17/03,Canada,4,0
6/18/03,Canada,-1,1
6/19/03,Canada,-1,1
6/23/03,Canada,1,1
6/24/03,Canada,3,2
6/25/03,Canada,1,0
6/26/03,Canada,1,0
6/30/03,Canada,1,0
7/1/03,Canada,0,1
7/3/03,Canada,-1,0
7/8/03,Canada,-1,0
7/9/03,Canada,-1,0
7/10/03,Canada,1,0
3/26/03,China,792,31
3/27/03,China,14,3
4/2/03,China,384,12
4/4/03,China,30,3
4/7/03,China,48,4
4/8/03,China,11,0
4/9/03,China,1,0
4/10/03,China,10,2
4/11/03,China,19,3
4/12/03,China,62,4
4/14/03,China,47,2
4/16/03,China,14,0
4/17/03,China,25,1
4/18/03,China,55,0
4/21/03,China,447,21
4/22/03,China,42,6
4/23/03,China,304,14
4/24/03,China,117,4
4/25/03,China,179,5
4/26/03,China,152,7
4/28/03,China,161,9
4/29/03,China,389,17
4/30/03,China,157,11
5/1/03,China,178,11
5/2/03,China,161,11
5/3/03,China,172,9
5/5/03,China,309,16
5/6/03,China,129,8
5/7/03,China,151,5
5/8/03,China,138,5
5/9/03,China,107,6
5/10/03,China,79,5
5/12/03,China,129,17
5/13/03,China,73,10
5/14/03,China,38,5
5/15/03,China,39,4
5/16/03,China,28,4
5/17/03,China,18,7
5/19/03,China,27,7
5/20/03,China,12,5
5/21/03,China,1,2
5/22/03,China,22,4
5/23/03,China,14,3
5/24/03,China,24,5
5/26/03,China,7,9
5/27/03,China,6,4
5/28/03,China,1,4
5/29/03,China,2,2
5/30/03,China,3,1
5/31/03,China,0,4
6/2/03,China,0,2
6/3/03,China,1,0
6/5/03,China,0,2
6/6/03,China,0,2
6/9/03,China,-1,2
6/10/03,China,0,3
6/11/03,China,1,0
6/12/03,China,-1,0
6/13/03,China,-1,0
6/16/03,China,-1,3
6/18/03,China,0,1
6/25/03,China,1,1
5/6/03,Colombia,1,0
5/8/03,Finland,1,0
3/24/03,France,1,0
4/8/03,France,1,0
4/11/03,France,1,0
5/7/03,France,1,0
5/10/03,France,1,0
4/3/03,France,2,0
7/11/03,France,0,1
3/17/03,Germany,1,0
3/18/03,Germany,1,0
3/19/03,Germany,-1,0
3/22/03,Germany,1,0
3/24/03,Germany,2,0
3/31/03,Germany,1,0
4/10/03,Germany,1,0
4/22/03,Germany,1,0
5/7/03,Germany,1,0
5/9/03,Germany,1,0
5/31/03,Germany,1,0
3/17/03,"Hong Kong SAR, China",95,1
3/18/03,"Hong Kong SAR, China",28,0
3/19/03,"Hong Kong SAR, China",27,4
3/20/03,"Hong Kong SAR, China",23,1
3/21/03,"Hong Kong SAR, China",30,0
3/22/03,"Hong Kong SAR, China",19,1
3/24/03,"Hong Kong SAR, China",38,3
3/25/03,"Hong Kong SAR, China",26,0
3/26/03,"Hong Kong SAR, China",30,0
3/27/03,"Hong Kong SAR, China",51,0
3/28/03,"Hong Kong SAR, China",58,0
3/29/03,"Hong Kong SAR, China",45,0
3/31/03,"Hong Kong SAR, China",60,3
4/1/03,"Hong Kong SAR, China",155,3
4/2/03,"Hong Kong SAR, China",23,0
4/3/03,"Hong Kong SAR, China",26,1
4/4/03,"Hong Kong SAR, China",27,0
4/5/03,"Hong Kong SAR, China",39,3
4/7/03,"Hong Kong SAR, China",83,3
4/8/03,"Hong Kong SAR, China",45,2
4/9/03,"Hong Kong SAR, China",42,2
4/10/03,"Hong Kong SAR, China",28,3
4/11/03,"Hong Kong SAR, China",61,2
4/12/03,"Hong Kong SAR, China",49,3
4/14/03,"Hong Kong SAR, China",82,12
4/15/03,"Hong Kong SAR, China",42,9
4/16/03,"Hong Kong SAR, China",36,5
4/17/03,"Hong Kong SAR, China",29,4
4/18/03,"Hong Kong SAR, China",61,16
4/21/03,"Hong Kong SAR, China",44,13
4/22/03,"Hong Kong SAR, China",32,5
4/23/03,"Hong Kong SAR, China",24,6
4/24/03,"Hong Kong SAR, China",30,4
4/25/03,"Hong Kong SAR, China",22,6
4/26/03,"Hong Kong SAR, China",17,6
4/28/03,"Hong Kong SAR, China",30,17
4/29/03,"Hong Kong SAR, China",15,12
4/30/03,"Hong Kong SAR, China",17,7
5/1/03,"Hong Kong SAR, China",11,5
5/2/03,"Hong Kong SAR, China",11,8
5/3/03,"Hong Kong SAR, China",10,9
5/5/03,"Hong Kong SAR, China",16,8
5/6/03,"Hong Kong SAR, China",9,6
5/7/03,"Hong Kong SAR, China",8,11
5/8/03,"Hong Kong SAR, China",7,4
5/9/03,"Hong Kong SAR, China",6,2
5/10/03,"Hong Kong SAR, China",7,2
5/12/03,"Hong Kong SAR, China",9,6
5/13/03,"Hong Kong SAR, China",6,7
5/14/03,"Hong Kong SAR, China",9,2
5/15/03,"Hong Kong SAR, China",5,7
5/16/03,"Hong Kong SAR, China",3,4
5/17/03,"Hong Kong SAR, China",4,5
5/19/03,"Hong Kong SAR, China",4,8
5/20/03,"Hong Kong SAR, China",4,2
5/21/03,"Hong Kong SAR, China",1,2
5/22/03,"Hong Kong SAR, China",3,3
5/23/03,"Hong Kong SAR, China",2,2
5/24/03,"Hong Kong SAR, China",0,2
5/26/03,"Hong Kong SAR, China",2,5
5/27/03,"Hong Kong SAR, China",2,2
5/28/03,"Hong Kong SAR, China",2,1
5/29/03,"Hong Kong SAR, China",2,3
5/30/03,"Hong Kong SAR, China",4,1
5/31/03,"Hong Kong SAR, China",3,4
6/2/03,"Hong Kong SAR, China",7,4
6/3/03,"Hong Kong SAR, China",1,1
6/4/03,"Hong Kong SAR, China",1,0
6/5/03,"Hong Kong SAR, China",0,1
6/6/03,"Hong Kong SAR, China",2,2
6/9/03,"Hong Kong SAR, China",3,2
6/10/03,"Hong Kong SAR, China",1,2
6/12/03,"Hong Kong SAR, China",1,1
6/13/03,"Hong Kong SAR, China",0,2
6/16/03,"Hong Kong SAR, China",0,2
6/19/03,"Hong Kong SAR, China",0,1
6/27/03,"Hong Kong SAR, China",0,1
6/30/03,"Hong Kong SAR, China",0,1
4/17/03,India,1,0
5/13/03,India,2,0
4/14/03,Indonesia,1,0
4/30/03,Indonesia,1,0
3/21/03,Italy,1,0
3/22/03,Italy,1,0
3/26/03,Italy,1,0
3/27/03,Italy,-1,0
4/1/03,Italy,1,0
4/24/03,Italy,1,0
4/28/03,Italy,4,0
4/29/03,Italy,1,0
6/27/03,Italy,-4,0
7/2/03,Italy,-1,0
4/11/03,Japan,4,0
4/15/03,Japan,-3,0
4/17/03,Japan,1,0
4/18/03,Japan,2,0
4/21/03,Japan,1,0
4/22/03,Japan,-3,0
6/25/03,Japan,-1,0
4/10/03,Kuwait,1,0
4/30/03,"Macao SAR, China",1,0
5/22/03,"Macao SAR, China",1,0
5/29/03,"Macao SAR, China",-1,0
4/5/03,Malaysia,1,1
4/10/03,Malaysia,2,0
4/11/03,Malaysia,1,0
4/16/03,Malaysia,1,0
4/21/03,Malaysia,1,0
4/23/03,Malaysia,-1,1
4/28/03,Malaysia,1,0
5/5/03,Malaysia,1,0
5/9/03,Malaysia,-1,0
5/10/03,Malaysia,1,0
5/21/03,Malaysia,1,0
5/26/03,Malaysia,-3,0
4/17/03,Mongolia,3,0
4/26/03,Mongolia,2,0
4/30/03,Mongolia,1,0
5/2/03,Mongolia,2,0
5/7/03,Mongolia,1,0
5/2/03,New Zealand,1,0
4/14/03,Philippines,1,0
4/21/03,Philippines,1,1
4/26/03,Philippines,2,1
5/2/03,Philippines,-1,0
5/7/03,Philippines,7,0
5/15/03,Philippines,2,0
6/12/03,Philippines,2,0
5/1/03,Poland,1,0
3/21/03,Republic of Ireland,1,0
3/26/03,Republic of Ireland,1,0
4/3/03,Republic of Ireland,-1,0
4/21/03,United States,-181,0
3/24/03,Switzerland,-5,0
6/3/03,"Taiwan, China",-5,0
6/24/03,"Taiwan, China",-5,0
6/26/03,"Taiwan, China",-4,0
6/23/03,"Taiwan, China",-3,0
6/30/03,"Taiwan, China",-3,0
7/8/03,"Taiwan, China",-3,0
4/3/03,Romania,-2,0
4/8/03,"Taiwan, China",-2,0
7/2/03,"Taiwan, China",-2,0
7/3/03,"Taiwan, China",-2,0
3/26/03,Thailand,-2,0
5/13/03,United Kingdom,-2,0
4/24/03,United States,-2,0
5/3/03,United States,-2,0
5/8/03,United States,-2,0
4/2/03,Switzerland,-1,0
4/5/03,Switzerland,-1,0
6/4/03,"Taiwan, China",-1,0
6/5/03,"Taiwan, China",-1,0
6/6/03,"Taiwan, China",-1,0
6/17/03,"Taiwan, China",-1,0
6/25/03,"Taiwan, China",-1,0
6/27/03,"Taiwan, China",-1,0
4/18/03,Thailand,-1,0
4/26/03,Thailand,-1,0
4/22/03,United States,-1,0
5/21/03,United States,-1,0
5/22/03,United States,-1,0
6/6/03,United States,-1,0
6/12/03,United States,-1,0
6/20/03,United States,-1,0
6/26/03,United States,-1,0
6/30/03,United States,-1,0
4/29/03,Republic of Korea,1,0
5/12/03,Republic of Korea,1,0
5/14/03,Republic of Korea,1,0
5/31/03,Russian Federation,1,0
4/21/03,Singapore,1,0
5/10/03,Singapore,1,0
5/19/03,Singapore,1,0
3/18/03,Slovenia,1,0
4/11/03,South Africa,1,0
3/19/03,Spain,1,0
4/14/03,Sweden,1,0
3/29/03,Switzerland,1,0
3/20/03,"Taiwan, China",1,0
4/3/03,"Taiwan, China",1,0
4/4/03,"Taiwan, China",1,0
6/11/03,"Taiwan, China",1,0
6/12/03,"Taiwan, China",1,0
3/17/03,Thailand,1,0
3/24/03,Thailand,1,0
4/1/03,Thailand,1,0
4/12/03,Thailand,1,0
4/24/03,Thailand,1,0
5/14/03,Thailand,1,0
6/9/03,Thailand,1,0
3/18/03,United Kingdom,1,0
3/20/03,United Kingdom,1,0
3/24/03,United Kingdom,1,0
4/5/03,United Kingdom,1,0
4/7/03,United Kingdom,1,0
4/12/03,United Kingdom,1,0
3/26/03,United States,1,0
4/9/03,United States,1,0
4/23/03,United States,1,0
5/10/03,United States,1,0
5/16/03,United States,1,0
5/17/03,United States,1,0
5/19/03,United States,1,0
5/28/03,United States,1,0
6/4/03,United States,1,0
6/10/03,United States,1,0
6/13/03,United States,1,0
6/16/03,United States,1,0
6/17/03,United States,1,0
6/24/03,United States,1,0
7/8/03,United States,1,0
7/9/03,United States,1,0
3/22/03,Viet Nam,1,0
4/3/03,Viet Nam,1,0
3/31/03,Singapore,2,0
5/2/03,Singapore,2,0
4/18/03,Sweden,2,0
3/17/03,Switzerland,2,0
3/21/03,"Taiwan, China",2,0
4/5/03,"Taiwan, China",2,0
4/11/03,"Taiwan, China",2,0
4/12/03,"Taiwan, China",2,0
4/18/03,"Taiwan, China",2,0
3/31/03,Thailand,2,0
3/21/03,United States,2,0
3/25/03,United States,2,0
4/25/03,United States,2,0
4/26/03,United States,2,0
5/1/03,United States,2,0
5/2/03,United States,2,0
6/3/03,United States,2,0
6/11/03,United States,2,0
6/18/03,United States,2,0
3/27/03,Romania,3,0
3/18/03,Singapore,3,0
3/20/03,Singapore,3,0
3/29/03,Singapore,3,0
4/3/03,Singapore,3,0
4/25/03,Singapore,3,0
3/18/03,"Taiwan, China",3,0
4/1/03,"Taiwan, China",3,0
3/21/03,Thailand,3,0
4/2/03,United States,3,0
4/7/03,Viet Nam,3,0
3/25/03,Singapore,4,0
3/28/03,"Taiwan, China",4,0
4/7/03,"Taiwan, China",4,0
4/16/03,"Taiwan, China",4,0
4/25/03,"Taiwan, China",4,0
6/9/03,"Taiwan, China",4,0
5/6/03,United States,4,0
3/21/03,Singapore,5,0
3/22/03,Singapore,5,0
4/7/03,Singapore,5,0
3/20/03,Switzerland,5,0
6/13/03,"Taiwan, China",5,0
3/27/03,United States,5,0
4/10/03,United States,5,0
6/10/03,"Taiwan, China",6,0
3/28/03,United States,6,0
4/17/03,United States,6,0
3/20/03,Viet Nam,6,0
4/11/03,Singapore,7,0
5/30/03,"Taiwan, China",7,0
4/8/03,United States,7,0
5/5/03,United States,7,0
3/19/03,Singapore,8,0
3/28/03,Singapore,8,0
4/10/03,Singapore,8,0
4/22/03,Singapore,8,0
4/23/03,"Taiwan, China",8,0
4/26/03,"Taiwan, China",8,0
6/2/03,"Taiwan, China",8,0
3/29/03,United States,8,0
4/14/03,United States,8,0
5/31/03,"Taiwan, China",9,0
3/22/03,United States,9,0
4/1/03,United States,10,0
3/19/03,United States,11,0
4/30/03,United States,11,0
4/11/03,United States,12,0
4/3/03,United States,13,0
4/12/03,Singapore,14,0
3/24/03,United States,15,0
4/4/03,United States,15,0
4/5/03,United States,15,0
5/5/03,"Taiwan, China",16,0
4/28/03,"Taiwan, China",17,0
3/18/03,Viet Nam,17,0
5/9/03,"Taiwan, China",18,0
4/15/03,United States,19,0
3/17/03,Singapore,20,0
3/24/03,Singapore,21,0
4/18/03,United States,21,0
5/15/03,"Taiwan, China",26,0
4/7/03,United States,26,0
5/21/03,"Taiwan, China",35,0
5/29/03,"Taiwan, China",50,0
5/23/03,"Taiwan, China",55,0
3/26/03,Singapore,5,1
3/27/03,Singapore,4,1
4/1/03,Singapore,1,1
4/2/03,Singapore,3,1
4/4/03,Singapore,2,1
4/5/03,Singapore,1,1
4/9/03,Singapore,5,1
4/15/03,Singapore,4,1
4/18/03,Singapore,10,1
4/23/03,Singapore,3,1
4/29/03,Singapore,2,1
5/1/03,Singapore,0,1
5/5/03,Singapore,1,1
5/6/03,Singapore,0,1
5/12/03,Singapore,0,1
5/22/03,Singapore,0,1
6/26/03,Singapore,0,1
5/5/03,South Africa,0,1
4/30/03,"Taiwan, China",12,1
5/7/03,"Taiwan, China",9,1
6/19/03,"Taiwan, China",-2,1
3/29/03,Thailand,0,1
4/2/03,Thailand,1,1
3/17/03,Viet Nam,40,1
3/19/03,Viet Nam,-1,1
4/14/03,Viet Nam,1,1
4/8/03,Singapore,7,2
4/17/03,Singapore,5,2
4/24/03,Singapore,3,2
4/26/03,Singapore,3,2
4/28/03,Singapore,1,2
5/23/03,Singapore,0,2
5/1/03,"Taiwan, China",11,2
5/6/03,"Taiwan, China",0,2
5/8/03,"Taiwan, China",6,2
5/12/03,"Taiwan, China",12,2
6/16/03,"Taiwan, China",5,2
3/24/03,Viet Nam,-5,2
4/14/03,Singapore,11,3
5/13/03,"Taiwan, China",23,4
5/27/03,"Taiwan, China",11,4
5/2/03,"Taiwan, China",11,5
5/10/03,"Taiwan, China",23,5
5/16/03,"Taiwan, China",10,5
5/19/03,"Taiwan, China",70,5
5/28/03,"Taiwan, China",14,5
5/14/03,"Taiwan, China",31,6
5/22/03,"Taiwan, China",65,8
5/20/03,"Taiwan, China",39,12
5/26/03,"Taiwan, China",47,12